package,component,maturity,review_notes
@ccui/catholic,calendar-item,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,calendar-tabs,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,canonical-reference,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,canonical-source-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,century-filter,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,church-document-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,church-document-header,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,citation-trail,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,clergy-directory,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,clergy-profile,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,confession-schedule-block,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,contact-block,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,contributor-list,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,dataset-card,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,date-range-label,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,directory,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,directory-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,directory-filter,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,document-authority-badge,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,document-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,document-citation,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,document-list,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,document-metadata,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,document-type-badge,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,download-link,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,entity-card,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,entity-relationship-list,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,event-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,event-list,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,exception-notice,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,external-catholic-resource-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,feast-day-hero,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,featured-story,demo-only,Useful for demonstrating product direction; do not treat as stable public API yet.
@ccui/catholic,file-type-icon,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,footnote-list,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,fullscreen-menu,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,holy-day-schedule-block,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,institutional-directory,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,institutional-footer,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,institutional-header,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,language-document-links,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,language-nav,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,liturgical-color-dot,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,liturgical-day-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,liturgical-season-badge,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,location-block,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,machine-readable-badge,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,mass-schedule-block,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,mass-time-row,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,media-card,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,ministry-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,ministry-directory-block,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,name-filter,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,namespace-badge,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,news-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,news-list,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,office-directory,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,office-hours,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,official-notice-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,ontology-class-card,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,ontology-property-table,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,page-header,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,paragraph-anchor,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,parish-announcement-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,parish-contact-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,parish-directory,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,parish-form-links,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,parish-hero,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,parish-history-timeline,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,parish-mega-nav,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,parish-notification-bell,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,parish-quick-links,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,photo-gallery,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,photo-gallery-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,pontiff-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,pontiff-directory,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,prayer-block,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,prayer-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,press-office-notice,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,press-release-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,primary-nav,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,project-card,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,project-donation-callout,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,project-status-badge,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,provenance-trail,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,reading-reference,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,related-documents,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,repository-link,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,resource-link,demo-only,Useful for demonstrating product direction; do not treat as stable public API yet.
@ccui/catholic,review-status-badge,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,sacrament-schedule-block,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,sacramental-preparation-block,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,sacred-media-frame,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,safeguarding-notice,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,saint-directory,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,school-directory,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,search-tool,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,seasonal-schedule-block,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,semantic-relation-graph,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,social-links,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,source-card,stable-candidate,Likely reusable Catholic interface pattern; review accessibility and source-data assumptions.
@ccui/catholic,staff-profile,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,term-definition-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,tithe-icon,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,translation-variant-card,experimental,"Promising Catholic/data-native pattern; needs API, governance, and authority-sensitivity review."
@ccui/catholic,utility-nav,experimental,"Useful system-level pattern; needs API, navigation, information-architecture, and governance review before stabilizing."
@ccui/catholic,video-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,visitor-info-block,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
@ccui/catholic,worship-aid-card,stable-candidate,"Reusable Catholic interface pattern; review accessibility, naming, and source-data assumptions before stabilizing."
